gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_2_ 09.04.2016 5_24_49.gps;3275;51.85883667;104.9952417;3275;3.11;6.86;33
_2_ 09.04.2016 5_24_49.gps;3293;51.85885167;104.9953633;3293;3.11;6.69;32
_2_ 09.04.2016 5_24_49.gps;3332;51.858865;104.995485;3332;3.3;6.91;32
_2_ 09.04.2016 5_24_49.gps;3350;51.85887833;104.9956083;3350;3.27;7;33
_2_ 09.04.2016 5_24_49.gps;3368;51.85889167;104.99573;3368;3.27;7.11;34
_2_ 09.04.2016 5_24_49.gps;3386;51.85890667;104.9958533;3386;3.25;7.19;35
_2_ 09.04.2016 5_24_49.gps;3405;51.85892333;104.9959767;3405;3.25;6.8;31
_2_ 09.04.2016 5_24_49.gps;3442;51.85894;104.9960967;3442;3.13;6.19;27
_2_ 09.04.2016 5_24_49.gps;3459;51.85895833;104.9962183;3459;6.16;12.22;54
_3_ 09.04.2016 5_40_27.gps;5;51.869605;105.0835083;5;3.55;5.36;16
_3_ 09.04.2016 5_40_27.gps;25;51.86958167;105.0836217;25;3.55;5.5;17
_3_ 09.04.2016 5_40_27.gps;46;51.86955833;105.0837333;46;3.36;5.25;17
_3_ 09.04.2016 5_40_27.gps;84;51.86954;105.0838633;84;3.33;5.69;21
_3_ 09.04.2016 5_40_27.gps;103;51.86951833;105.08398;103;3.36;5.66;20
_3_ 09.04.2016 5_40_27.gps;121;51.86949833;105.0840967;121;3.36;5.55;19
_3_ 09.04.2016 5_40_27.gps;140;51.86947333;105.084215;140;3.33;5.63;20
_3_ 09.04.2016 5_40_27.gps;158;51.869455;105.0843383;158;3.33;5.02;15
_3_ 09.04.2016 5_40_27.gps;198;51.86944333;105.084455;198;3.44;5.58;19
_3_ 09.04.2016 5_40_27.gps;217;51.869435;105.0845717;217;3.47;5.47;17
_3_ 09.04.2016 5_40_27.gps;235;51.86942333;105.0846883;235;3.47;5.66;19
_3_ 09.04.2016 5_40_27.gps;253;51.86940833;105.0848017;253;3.47;5.41;17
_3_ 09.04.2016 5_40_27.gps;272;51.86939167;105.0849233;272;3.44;5;14
_3_ 09.04.2016 5_40_27.gps;312;51.86937167;105.0850417;312;3.33;5.55;19
_3_ 09.04.2016 5_40_27.gps;330;51.86935;105.0851583;330;3.3;5.27;17
_3_ 09.04.2016 5_40_27.gps;348;51.86932667;105.0852783;348;3.3;5.72;21
_3_ 09.04.2016 5_40_27.gps;367;51.86930167;105.0853983;367;3.3;5.77;22
_3_ 09.04.2016 5_40_27.gps;385;51.869275;105.0855167;385;3.33;5.55;19
_3_ 09.04.2016 5_40_27.gps;425;51.86925;105.0856317;425;3.33;5.33;18
_3_ 09.04.2016 5_40_27.gps;444;51.86922667;105.0857517;444;3.33;5.63;20
_3_ 09.04.2016 5_40_27.gps;462;51.86920167;105.0858783;462;3.3;5.52;19
_3_ 09.04.2016 5_40_27.gps;481;51.86917667;105.086;481;3.27;5.5;20
_3_ 09.04.2016 5_40_27.gps;500;51.86915167;105.0861233;500;3.27;5.75;22
_3_ 09.04.2016 5_40_27.gps;539;51.86912833;105.0862467;539;3.27;4.69;12
_3_ 09.04.2016 5_40_27.gps;557;51.869105;105.0863767;557;3.3;5.47;19
_3_ 09.04.2016 5_40_27.gps;576;51.869085;105.0865083;576;3.3;5.5;19
_3_ 09.04.2016 5_40_27.gps;594;51.86907;105.0866317;594;3.3;5.47;19
_3_ 09.04.2016 5_40_27.gps;613;51.86905833;105.086755;613;3.3;4.88;14
_3_ 09.04.2016 5_40_27.gps;653;51.86904167;105.0868817;653;3.13;5.27;19
_3_ 09.04.2016 5_40_27.gps;671;51.86902333;105.0870083;671;3.3;4.69;12
