;frame_st;frame_end;date;time;type;Z;tk_min;tk_max;amplitude;middle;jumps;other;file_name;file_source
29;10836;31335;11.04.2016;;οπτ.;;17.42444152;70.23390276;52.80946124;60.31537451;1;;_213_ 11.04.2016 14_27_37.gps;gps, dat
30;38259;40042;11.04.2016;;οπτ.;;44.40998686;86.67542707;42.26544021;54.86465177;1;;_213_ 11.04.2016 14_27_37.gps;gps, dat
31;0;7870;15.04.2016;;οπτ.;;28.86202365;84.3521682;55.49014455;69.96583443;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
32;10580;16770;15.04.2016;;οπτ.;;42.1760841;73.9868594;31.8107753;56.65177398;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
33;19179;34695;15.04.2016;;οπτ.;;46.10775296;86.85413929;40.74638633;76.48883049;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
34;37405;37739;15.04.2016;;οπτ.;;51.6478318;75.95269382;24.30486202;66.48094612;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
35;38041;38402;15.04.2016;;οπτ.;;60.04730618;88.90932983;28.86202365;80.42049934;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
36;38704;39584;15.04.2016;;οπτ.;;55.04336399;85.42444152;30.38107753;79.43758213;1;;_272_ 15.04.2016 9_25_44.gps;gps, dat
37;0;60;13.04.2016;;οπτ.;;14.6544021;74.70170828;60.04730618;73.71879106;1;;_233_ 13.04.2016 10_11_46.gps;gps, dat
38;663;2113;13.04.2016;;οπτ.;;48.96714849;86.40735874;37.44021025;69.25098555;1;;_233_ 13.04.2016 10_11_46.gps;gps, dat
39;3920;6503;13.04.2016;;οπτ.;;41.99737188;87.65834428;45.6609724;66.74901445;3;;_233_ 13.04.2016 10_11_46.gps;gps, dat
40;7708;24152;13.04.2016;;οπτ.;;30.29172142;84.44152431;54.14980289;62.10249671;4;;_233_ 13.04.2016 10_11_46.gps;gps, dat
41;28066;39466;13.04.2016;;οπτ.;;12.68856767;94.80683311;82.11826544;51.11169514;7;;_233_ 13.04.2016 10_11_46.gps;gps, dat
42;0;6531;14.04.2016;;οπτ.;;45.12483574;107.7634691;62.63863338;90.3390276;1;;_242_ 14.04.2016 7_26_30.gps;gps, dat
43;0;7507;15.04.2016;;οπτ.;;54.59658344;179.695138;125.0985545;88.37319317;4;;_263_ 15.04.2016 5_44_14.gps;gps, dat
44;0;1092;13.04.2016;;οπτ.;;13.85019711;82.47568988;68.62549277;74.96977661;2;;_230_ 13.04.2016 8_08_25.gps;gps, dat
45;0;2134;09.04.2016;;οπτ.;;18.40735874;74.16557162;55.75821288;48.96714849;2;;_193_ 09.04.2016 13_09_32.gps;gps, dat
46;3038;6571;09.04.2016;;οπτ.;;37.97634691;66.83837057;28.86202365;50.84362681;3;;_193_ 09.04.2016 13_09_32.gps;gps, dat
47;0;2918;15.04.2016;;οπτ.;;67.01708279;166.2917214;99.27463863;86.85413929;1;;_262_ 15.04.2016 5_03_01.gps;gps, dat
48;0;1;09.04.2016;;οπτ.;;30.47043364;80.86727989;50.39684625;55.66885677;1;;_2_ 09.04.2016 5_24_49.gps;gps, dat
49;0;8007;14.04.2016;;οπτ.;;38.24441524;159.7687254;121.5243101;88.90932983;4;;_243_ 14.04.2016 7_31_16.gps;gps, dat
50;0;841;15.04.2016;;οπτ.;;73.9868594;157.8028909;83.81603154;89.89224704;1;;_266_ 15.04.2016 6_08_30.gps;gps, dat
51;0;9049;13.04.2016;;οπτ.;;36.1892247;87.65834428;51.46911958;68.80420499;7;;_229_ 13.04.2016 7_48_58.gps;gps, dat
52;9351;27191;13.04.2016;;οπτ.;;25.8239159;94.80683311;68.98291721;61.74507227;19;;_229_ 13.04.2016 7_48_58.gps;gps, dat
53;27493;39290;13.04.2016;;οπτ.;;28.05781866;88.37319317;60.31537451;67.01708279;3;;_229_ 13.04.2016 7_48_58.gps;gps, dat
54;4816;5194;13.04.2016;;οπτ.;;58.61760841;91.85808147;33.24047306;81.67148489;1;;_226_ 13.04.2016 6_25_28.gps;gps, dat
55;0;8244;12.04.2016;;οπτ.;;44.94612352;93.8239159;48.87779238;75.68462549;4;;_215_ 12.04.2016 13_38_02.gps;gps, dat
56;9750;15484;12.04.2016;;οπτ.;;38.78055191;97.3088042;58.5282523;73.00394218;6;;_215_ 12.04.2016 13_38_02.gps;gps, dat
57;16087;17167;12.04.2016;;οπτ.;;49.14586071;95.78975033;46.64388962;84.44152431;1;;_215_ 12.04.2016 13_38_02.gps;gps, dat
58;17469;18914;12.04.2016;;οπτ.;;31.8107753;87.65834428;55.84756899;52.36268068;1;;_215_ 12.04.2016 13_38_02.gps;gps, dat
59;19517;20265;12.04.2016;;οπτ.;;52.80946124;87.65834428;34.84888305;68.71484888;1;;_215_ 12.04.2016 13_38_02.gps;gps, dat
60;20567;20894;12.04.2016;;οπτ.;;53.61366623;89.08804205;35.47437582;77.38239159;1;;_215_ 12.04.2016 13_38_02.gps;gps, dat
61;21497;23776;12.04.2016;;οπτ.;;34.49145861;85.60315375;51.11169514;67.01708279;1;;_215_ 12.04.2016 13_38_02.gps;gps, dat
62;0;2772;12.04.2016;;οπτ.;;57.81340342;87.12220762;29.3088042;77.91852825;1;;_214_ 12.04.2016 9_58_35.gps;gps, dat
63;3074;18646;12.04.2016;;οπτ.;;33.06176084;86.13929041;53.07752957;72.73587385;5;;_214_ 12.04.2016 9_58_35.gps;gps, dat
64;18948;20319;12.04.2016;;οπτ.;;45.12483574;83.90538765;38.78055191;65.49802891;1;;_214_ 12.04.2016 9_58_35.gps;gps, dat
65;20922;37341;12.04.2016;;οπτ.;;23.14323259;84.88830486;61.74507227;68.53613666;6;;_214_ 12.04.2016 9_58_35.gps;gps, dat
66;37944;47888;12.04.2016;;οπτ.;;47.18002628;89.35611038;42.1760841;75.95269382;2;;_214_ 12.04.2016 9_58_35.gps;gps, dat
67;0;2927;14.04.2016;;οπτ.;;58.08147175;171.2956636;113.2141919;84.88830486;1;;_247_ 14.04.2016 9_00_01.gps;gps, dat
68;17458;18841;10.04.2016;;οπτ.;;63.53219448;90.07095926;26.53876478;74.07621551;1;;_206_ 10.04.2016 14_06_32.gps;gps, dat
69;19444;20266;10.04.2016;;οπτ.;;61.03022339;86.40735874;25.37713535;70.23390276;1;;_206_ 10.04.2016 14_06_32.gps;gps, dat
